车架号,厂家代码,公司代码,调拨日期,位置,详细位置,发动机号,颜色,车型,配置,价格,出厂日期,入库日期,来源,点款,加装,GMAC,其他记录,绑定订单,
LSGKB54A5KV358241,SGM7102LBA1,7102SK19,2019/11/22 13:59,库房,3号库,191480845,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/5/30 0:00,2019/11/22 13:59,厂家到车,FALSE,,,,代韦:(暂定),
LSGKB54A8KV359156,SGM7102LBA1,7102SK19,2019/11/25 11:48,库房,3号库,191470560,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/5/31 0:00,2019/11/25 11:48,厂家到车,FALSE,,,,代韦:(暂定),
LSGKB54A6KV359124,SGM7102LBA1,7102SK19,2019/12/10 11:07,店内,展厅,191470462,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/5/31 0:00,2019/11/22 13:55,厂家到车,FALSE,,,,代韦:(暂定),
LSGKB54A2KV359055,SGM7102LBA1,7102SK19,2019/11/5 11:12,网点,郫县鸿合,191470483,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/5/31 0:00,2019/10/31 17:09,厂家到车,TRUE,,,,,
LSGKB54A3KV359100,SGM7102LBA1,7102SK19,2019/11/12 16:27,网点,众友龙达,191470486,闪电白,科鲁泽,科鲁泽 Redline 320T双离合 爽快版(GB6) 19,109900,2019/5/31 0:00,2019/11/6 11:08,厂家到车,TRUE,,,,,
LSGKB5415LV050701,SGM7132LBA1,7132CK20,2019/11/19 10:25,网点,彭州辰威,192964825,风尚红,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/1 0:00,2019/11/18 9:47,厂家到车,TRUE,,,,,
LSGKB5411LV050663,SGM7132LBA1,7132CK20,2019/11/18 9:47,库房,3号库,192964458,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/1 0:00,2019/11/18 9:47,厂家到车,FALSE,,,,范世平:柏前标,
LSGKB5415LV062623,SGM7132LBA1,7132CK20,2019/12/5 16:34,库房,3号库,193144203,星夜蓝,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/18 0:00,2019/12/5 16:34,厂家到车,FALSE,,,,,
LSGKB5419LV062754,SGM7132LBA1,7132CK20,2019/12/8 10:16,网点,内江晨隆,193135228,星夜蓝,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/18 0:00,2019/12/5 16:36,厂家到车,TRUE,,,,,
LSGKB541XLV059992,SGM7132LBA1,7132CK20,2019/12/22 16:45,店内,门口,193105064,陨铁灰,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/15 0:00,2019/12/13 13:32,厂家到车,FALSE,,,,夏轩颐:(暂定),
LSGKB5416LV059987,SGM7132LBA1,7132CK20,2019/12/19 9:53,网点,新都汇升,193104994,陨铁灰,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/15 0:00,2019/12/16 15:04,厂家到车,TRUE,,,,,
LSGKB541XLV060172,SGM7132LBA1,7132CK20,2019/12/16 15:02,库房,3号库,193104430,陨铁灰,科鲁泽,科鲁泽 RS 330T自动 畅快版 20,114900,2019/11/15 0:00,2019/12/16 15:02,厂家到车,FALSE,,,,,
