vin,bonus,reserve,calldt,kpdt,fpcode,
LSGKH8418KY030536,-89940,-53964,2019/1/14 0:00,2019/1/14 0:00,3116986784,
LSGKH8410KY025363,-83940,-50364,2019/1/15 0:00,2019/1/15 0:00,3116992569,
LSGGJ5450JS254008,0,-172704,2019/1/14 0:00,2019/1/14 0:00,3116990528,
LSGGJ545XKS009623,0,-172704,2019/1/14 0:00,2019/1/14 0:00,3116986783,
LSGGJ5450KS009629,0,-172704,2019/1/14 0:00,2019/1/14 0:00,3116986782,
LSGKB52H6KV240571,0,-95904,2019/1/15 0:00,2019/1/15 0:00,3116992568,
LSGKB52H8KV240569,0,-95904,2019/1/15 0:00,2019/1/15 0:00,3116992567,
LSGKB52H2KV242477,0,-87264,2019/1/16 0:00,2019/1/16 0:00,3116998638,
LSGKB52H5KV241887,0,-87264,2019/1/16 0:00,2019/1/16 0:00,3116998639,
LSGKB52H2KV241815,0,-87264,2019/1/16 0:00,2019/1/16 0:00,3116998640,
LSGKB52H9KV241956,0,-87264,2019/1/16 0:00,2019/1/16 0:00,3116998642,
LSGKB52H9KV241990,0,-87264,2019/1/16 0:00,2019/1/16 0:00,3116998641,
LSGGJ5459KS018569,0,-163104,2019/1/17 0:00,2019/1/17 0:00,3117002864,
LSGGJ5456KS018349,0,-163104,2019/1/17 0:00,2019/1/17 0:00,3117002865,
LSGGJ5456KS018531,0,-163104,2019/1/17 0:00,2019/1/17 0:00,3117002866,
LSGKB52H6KV245897,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017257,
LSGKB52H0KV245796,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017258,
LSGKB52H0KV245698,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017259,
LSGKB52H1KV245595,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017260,
LSGKB52H6KV245849,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017261,
LSGKB52H5KV246006,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017262,
LSGKB52H6KV245964,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017265,
LSGKB52H2KV245797,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017264,
LSGKB52H9KV245702,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017263,
LSGKB52H9KV245795,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017267,
LSGKB52H0KV245751,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017268,
LSGKB52H0KV245667,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017266,
LSGKB52H6KV245768,0,-95904,2019/1/20 0:00,2019/1/20 0:00,3117017269,
LSGGJ5452KS020986,-101940,-61164,2019/1/21 0:00,2019/1/21 0:00,3117021685,
LSGGJ5457KS021180,-101940,-61164,2019/1/21 0:00,2019/1/21 0:00,3117021688,
LSGGJ5456KS021087,-101940,-61164,2019/1/21 0:00,2019/1/21 0:00,3117021686,
LSGGJ5456KS021171,-101940,-61164,2019/1/21 0:00,2019/1/21 0:00,3117021687,
LSGGJ5451KS021420,-101940,-61164,2019/1/21 0:00,2019/1/21 0:00,3117021689,
LSGZG53L5KS006992,0,-124989,2019/1/21 0:00,2019/1/21 0:00,3117024044,
LSGKB52H4KV252587,-54540,-41364,2019/1/25 0:00,2019/1/25 0:00,3117048649,
LSGKB52H6KV252512,-54540,-41364,2019/1/25 0:00,2019/1/25 0:00,3117048650,
LSGKB52HXKV252464,-54540,-41364,2019/1/25 0:00,2019/1/25 0:00,3117048648,
LSGKB52H7KV252454,-54540,-41364,2019/1/25 0:00,2019/1/25 0:00,3117048647,
LSGKB52H0KV252196,-54540,-32724,2019/1/25 0:00,2019/1/25 0:00,3117048646,
LSGKB52H3KV252077,-54540,-32724,2019/1/25 0:00,2019/1/25 0:00,3117048644,
LSGKB52H5KV252145,-54540,-32724,2019/1/25 0:00,2019/1/25 0:00,3117048645,
LSGKB52H7KV252728,-54540,-32724,2019/1/26 0:00,2019/1/26 0:00,3117051143,
LSGKB52H4KV249575,-54540,-32724,2019/1/28 0:00,2019/1/28 0:00,3117058177,
LSGKB52HXKV242145,-47940,-28764,2019/1/28 0:00,2019/1/28 0:00,3117057384,
LSGGJ5455KS023977,-101940,-61164,2019/1/28 0:00,2019/1/28 0:00,3117058176,
LSGGJ5453KS024061,-101940,-61164,2019/1/28 0:00,2019/1/28 0:00,3117058175,
LSGGJ5457KS024063,-107940,-64764,2019/1/28 0:00,2019/1/28 0:00,3117058174,
LSGKB52H5KV256308,-54540,-32724,2019/1/29 0:00,2019/1/29 0:00,3117062953,
LSGKB52H7KV256245,-54540,-32724,2019/1/29 0:00,2019/1/29 0:00,3117062954,
LSGZG53L6KS018469,-122940,-73764,2019/1/31 0:00,2019/1/31 0:00,3117078988,
LSGZG53L9KS010186,-122940,-73764,2019/1/30 0:00,2019/1/30 0:00,3117073184,
LSGZG53L5KS010136,-122940,-73764,2019/1/30 0:00,2019/1/30 0:00,3117073183,
LSGZG53L7KS010803,-122940,-73764,2019/1/30 0:00,2019/1/30 0:00,3117073182,
LSGKB52H7KV257492,-54540,-32724,2019/1/30 0:00,2019/1/30 0:00,3117068524,
LSGKB52H1KV257505,-54540,-32724,2019/1/30 0:00,2019/1/30 0:00,3117068522,
LSGKB52HXKV257468,-54540,-32724,2019/1/30 0:00,2019/1/30 0:00,3117068523,
LSGKB52H7KV257427,-54540,-32724,2019/1/30 0:00,2019/1/30 0:00,3117068525,
LSGKB52H5KV257443,-54540,-32724,2019/1/30 0:00,2019/1/30 0:00,3117068521,
LSGKB52H7KV257167,-54540,-32724,2019/1/30 0:00,2019/1/30 0:00,3117068520,
LSGKB52H4KV257174,-47940,-28764,2019/1/30 0:00,2019/1/30 0:00,3117068518,
LSGKB52H3KV257618,-47940,-28764,2019/1/30 0:00,2019/1/30 0:00,3117068519,
LSGKB52H8KV257520,-47940,-28764,2019/1/30 0:00,2019/1/30 0:00,3117068517,
LSGKB52H5KV258592,-59940,-35964,2019/1/31 0:00,2019/1/31 0:00,3117080296,
LSGKB52H3KV258610,-59940,-35964,2019/1/31 0:00,2019/1/31 0:00,3117080295,
LSGKB52H0KV258581,-59940,-35964,2019/1/31 0:00,2019/1/31 0:00,3117080291,
LSGKB52HXKV258586,-59940,-35964,2019/1/31 0:00,2019/1/31 0:00,3117080294,
LSGKB52H1KV258427,-59940,-35964,2019/1/31 0:00,2019/1/31 0:00,3117080293,
LSGKB52H9KV258546,-59940,-35964,2019/1/31 0:00,2019/1/31 0:00,3117080292,
LSGKB52H8KV259607,-54540,-32724,2019/2/1 0:00,2019/2/1 0:00,3117089562,
LSGKB52H7KV259730,-54540,-32724,2019/2/1 0:00,2019/2/1 0:00,3117089563,
